               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11277,            0.028807,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.070732,            0.003252,            0.003252
                   1,             0.10346,            0.022153,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.040706,           0.0065593,           0.0065593
                   2,             0.10115,            0.021588,                   0,                   0,                   0,                   0,                   0,                 nan,                 nan,                   0,            0.010653,           0.0098401,           0.0098401
                   3,              0.0985,            0.021509,                   0,           0.0014897,           0.0088496,          0.00017456,          4.0373e-05,                 nan,                 nan,                   0,           0.0098812,           0.0098812,           0.0098812
                   4,            0.094457,            0.022808,                   0,          3.6232e-05,           0.0088496,          1.8283e-05,           5.485e-06,                 nan,                 nan,                   0,           0.0098812,           0.0098812,           0.0098812
                   5,            0.087474,            0.021256,                   0,            0.033312,            0.017699,           0.0016778,          0.00029331,             0.14101,             0.02357,                   0,           0.0098416,           0.0098416,           0.0098416
                   6,             0.08272,            0.020534,                   0,            0.046786,            0.035398,           0.0065472,           0.0017359,                 nan,                 nan,                   0,            0.009802,            0.009802,            0.009802
                   7,            0.082317,            0.020516,                   0,            0.074094,            0.026549,            0.013053,           0.0032767,             0.10238,            0.047405,                   0,           0.0097624,           0.0097624,           0.0097624
                   8,            0.082942,            0.020957,                   0,            0.072621,             0.30088,            0.038414,             0.01039,                 nan,                 nan,                   0,           0.0097228,           0.0097228,           0.0097228
                   9,            0.080599,            0.019514,                   0,            0.013163,             0.37168,             0.00836,           0.0025649,            0.082854,             0.72887,                   0,           0.0096832,           0.0096832,           0.0096832
                  10,            0.077624,            0.021758,                   0,            0.061963,             0.28319,            0.050627,            0.011143,            0.084883,            0.034181,                   0,           0.0096436,           0.0096436,           0.0096436
                  11,            0.077357,            0.020738,                   0,            0.062245,            0.044248,            0.010573,           0.0027742,             0.11879,            0.024038,                   0,            0.009604,            0.009604,            0.009604
                  12,            0.079673,            0.020767,                   0,             0.11944,            0.070796,            0.032778,           0.0064425,            0.091822,            0.029369,                   0,           0.0095644,           0.0095644,           0.0095644
                  13,            0.075689,            0.019952,                   0,            0.086191,             0.24779,             0.08781,            0.021389,            0.075163,            0.032625,                   0,           0.0095248,           0.0095248,           0.0095248
                  14,            0.074794,            0.019428,                   0,             0.20033,             0.30973,             0.12544,            0.033059,            0.077876,            0.028853,                   0,           0.0094852,           0.0094852,           0.0094852
                  15,            0.071264,            0.018792,                   0,             0.23742,             0.28319,             0.12667,            0.034226,            0.084906,            0.031476,                   0,           0.0094456,           0.0094456,           0.0094456
                  16,            0.070702,            0.018539,                   0,              0.2813,             0.40708,              0.2032,            0.053691,            0.076258,            0.030649,                   0,            0.009406,            0.009406,            0.009406
                  17,            0.068646,            0.018612,                   0,             0.37108,             0.56637,              0.2957,            0.072366,            0.068303,            0.027381,                   0,           0.0093664,           0.0093664,           0.0093664
                  18,            0.069282,            0.017603,                   0,             0.43112,             0.45133,             0.38322,             0.11006,            0.069421,            0.027927,                   0,           0.0093268,           0.0093268,           0.0093268
                  19,            0.067159,            0.018439,                   0,             0.36523,             0.38938,             0.27214,            0.078514,             0.07123,            0.028112,                   0,           0.0092872,           0.0092872,           0.0092872
                  20,            0.069525,            0.019271,                   0,             0.53786,             0.59739,             0.50504,             0.15466,            0.065823,            0.024238,                   0,           0.0092476,           0.0092476,           0.0092476
                  21,            0.069106,            0.017596,                   0,             0.56608,             0.47788,             0.51555,             0.15685,            0.063167,            0.025178,                   0,            0.009208,            0.009208,            0.009208
                  22,            0.068039,            0.017055,                   0,             0.51638,             0.54867,             0.49067,             0.13382,            0.063634,            0.022244,                   0,           0.0091684,           0.0091684,           0.0091684
                  23,            0.064403,            0.018058,                   0,             0.47713,              0.6945,             0.51208,              0.1759,            0.058553,             0.02343,                   0,           0.0091288,           0.0091288,           0.0091288
                  24,            0.062213,            0.016739,                   0,             0.71169,             0.63352,              0.6885,             0.24873,            0.057507,            0.026725,                   0,           0.0090892,           0.0090892,           0.0090892
                  25,            0.060621,            0.016532,                   0,              0.8317,             0.66372,             0.76064,              0.2445,            0.057511,            0.021692,                   0,           0.0090496,           0.0090496,           0.0090496
                  26,            0.065395,            0.017481,                   0,             0.57889,             0.46231,             0.52965,             0.17569,            0.063397,            0.025605,                   0,             0.00901,             0.00901,             0.00901
                  27,            0.063463,            0.016798,                   0,             0.68204,              0.6834,              0.6513,             0.21757,            0.056205,            0.023227,                   0,           0.0089704,           0.0089704,           0.0089704
                  28,            0.066133,            0.015938,                   0,             0.70963,             0.61947,             0.65758,             0.23405,             0.05881,            0.024323,                   0,           0.0089308,           0.0089308,           0.0089308
