epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,119.927,1.69659,1.01164,0.60685,0.64042,0.40708,0.48945,0.21788,1.97064,1.08129,0.63512,0.00176812,0.00176812,0.00176812
43,122.668,1.73714,1.01145,0.64612,0.53045,0.51327,0.55488,0.27221,1.81317,1.06461,0.6175,0.00176246,0.00176246,0.00176246
44,125.389,1.8438,1.11489,0.62299,0.75501,0.53097,0.65367,0.29491,1.84907,0.90195,0.60091,0.0017568,0.0017568,0.0017568
45,128.092,1.5604,0.88441,0.60932,0.72176,0.55097,0.6133,0.2721,1.93654,0.9631,0.64163,0.00175115,0.00175115,0.00175115
46,130.767,1.61372,0.91202,0.61912,0.702,0.66714,0.67841,0.31256,1.75184,0.97339,0.60772,0.00174549,0.00174549,0.00174549
47,133.466,8.25601,0.92236,0.57506,0.71388,0.6624,0.69065,0.29941,1.63064,0.96366,0.58829,0.00173984,0.00173984,0.00173984
48,136.169,1.71621,0.9778,0.63962,0.32919,0.46903,0.41949,0.19514,1.98578,2.36713,0.69147,0.00173418,0.00173418,0.00173418
49,138.84,1.62405,0.96393,0.61139,0.59202,0.30823,0.31606,0.15868,2.18657,2.68048,0.74014,0.00172853,0.00172853,0.00172853
50,141.457,1.65131,0.9615,0.60004,0.56098,0.26549,0.31547,0.13486,2.45653,2.49975,0.77282,0.00172287,0.00172287,0.00172287
51,144.156,1.63868,0.95343,0.62157,0.68834,0.30973,0.40121,0.1844,2.19008,2.25388,0.67576,0.00171721,0.00171721,0.00171721
52,146.883,1.68036,0.88887,0.60362,0.61282,0.66372,0.689,0.29199,1.7737,0.97284,0.59894,0.00171156,0.00171156,0.00171156
53,149.604,1.57844,0.94979,0.60068,0.66081,0.62067,0.68753,0.34714,1.59386,0.93441,0.58961,0.0017059,0.0017059,0.0017059
54,152.791,1.54206,0.91947,0.59219,0.75679,0.66372,0.74936,0.37628,1.69821,0.89909,0.59053,0.00170025,0.00170025,0.00170025
55,155.851,1.51748,0.88789,0.59172,0.67062,0.51327,0.61182,0.25637,1.95906,1.39446,0.61348,0.00169459,0.00169459,0.00169459
56,158.385,1.59201,0.9134,0.62373,0.54539,0.46018,0.51884,0.26508,1.92585,1.70255,0.63659,0.00168894,0.00168894,0.00168894
57,160.966,1.58542,0.91245,0.6044,0.70053,0.57522,0.66212,0.34601,1.64195,0.88546,0.57654,0.00168328,0.00168328,0.00168328
