               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.074575,            0.011596,                   0,             0.47748,             0.23894,             0.21651,            0.055944,              0.1268,                 nan,                   0,           0.0085348,           0.0085348,           0.0085348
                  39,            0.075638,             0.01147,                   0,             0.62729,             0.51327,             0.51486,             0.15417,            0.089398,            0.010065,                   0,           0.0084952,           0.0084952,           0.0084952
                  40,            0.075344,            0.010837,                   0,             0.55267,             0.28319,             0.25328,             0.07207,             0.09734,            0.011363,                   0,           0.0084556,           0.0084556,           0.0084556
                  41,            0.077324,            0.011282,                   0,             0.56232,             0.45133,              0.4601,              0.1211,            0.075069,            0.011421,                   0,            0.008416,            0.008416,            0.008416
                  42,            0.074193,            0.010617,                   0,             0.70998,             0.58407,             0.61039,             0.19061,            0.069975,            0.011151,                   0,           0.0083764,           0.0083764,           0.0083764
                  43,            0.075045,            0.011624,                   0,             0.40659,             0.34513,             0.34763,             0.10656,            0.080181,            0.013773,                   0,           0.0083368,           0.0083368,           0.0083368
                  44,            0.074246,            0.011947,                   0,             0.57251,             0.39823,             0.41016,             0.10172,            0.077801,            0.011038,                   0,           0.0082972,           0.0082972,           0.0082972
                  45,            0.072183,            0.011203,                   0,             0.37048,             0.26549,              0.1463,            0.043671,            0.097663,            0.012657,                   0,           0.0082576,           0.0082576,           0.0082576
                  46,            0.070911,            0.011735,                   0,             0.14783,             0.15044,            0.062767,            0.014042,             0.11719,            0.011286,                   0,            0.008218,            0.008218,            0.008218
                  47,            0.072252,            0.010994,                   0,             0.68223,             0.45601,             0.45795,             0.15814,            0.073344,            0.011954,                   0,           0.0081784,           0.0081784,           0.0081784
                  48,            0.070932,            0.011374,                   0,             0.32319,             0.11504,             0.10395,             0.02361,               0.122,                 nan,                   0,           0.0081388,           0.0081388,           0.0081388
                  49,            0.074299,            0.011575,                   0,             0.22784,             0.17699,              0.1341,            0.031542,             0.10577,                 nan,                   0,           0.0080992,           0.0080992,           0.0080992
                  50,            0.070387,            0.011184,                   0,              0.3857,             0.31858,             0.19493,            0.053953,             0.09124,                 nan,                   0,           0.0080596,           0.0080596,           0.0080596
                  51,            0.070611,            0.011409,                   0,             0.47323,             0.36283,             0.29992,            0.086546,                 nan,                 nan,                   0,             0.00802,             0.00802,             0.00802
                  52,            0.069927,             0.01046,                   0,              0.6617,             0.59292,             0.56322,              0.1706,            0.070998,                 nan,                   0,           0.0079804,           0.0079804,           0.0079804
