               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.060261,             0.01206,                   0,             0.77352,             0.69519,             0.72186,             0.27412,            0.054196,             0.01701,                   0,           0.0085348,           0.0085348,           0.0085348
                  39,            0.056553,            0.012147,                   0,             0.75041,             0.69912,             0.74352,             0.29339,            0.051008,            0.019083,                   0,           0.0084952,           0.0084952,           0.0084952
                  40,            0.056885,            0.011926,                   0,             0.64963,             0.64602,             0.61822,             0.22414,            0.052137,            0.018498,                   0,           0.0084556,           0.0084556,           0.0084556
                  41,            0.057438,            0.012468,                   0,             0.74059,             0.71681,             0.77366,             0.30335,            0.051298,            0.016166,                   0,            0.008416,            0.008416,            0.008416
                  42,            0.058246,            0.011649,                   0,             0.66584,             0.61947,             0.60928,             0.22093,            0.051335,            0.022009,                   0,           0.0083764,           0.0083764,           0.0083764
                  43,            0.055637,            0.012097,                   0,              0.7728,             0.50442,             0.58857,             0.20293,            0.058171,            0.021969,                   0,           0.0083368,           0.0083368,           0.0083368
                  44,            0.056383,            0.012206,                   0,             0.43414,             0.26549,               0.225,            0.082534,            0.091922,            0.028982,                   0,           0.0082972,           0.0082972,           0.0082972
                  45,            0.056024,            0.011392,                   0,             0.71169,             0.71681,             0.69813,             0.28416,            0.051916,            0.018589,                   0,           0.0082576,           0.0082576,           0.0082576
                  46,            0.054349,            0.012003,                   0,             0.81196,             0.67257,             0.72451,             0.26967,            0.053444,            0.018739,                   0,            0.008218,            0.008218,            0.008218
                  47,            0.054134,            0.011595,                   0,              0.8708,             0.77544,             0.81516,             0.32327,            0.052579,            0.015235,                   0,           0.0081784,           0.0081784,           0.0081784
                  48,            0.054905,            0.011466,                   0,             0.71039,             0.58612,             0.63142,             0.24426,            0.054358,            0.018481,                   0,           0.0081388,           0.0081388,           0.0081388
                  49,            0.055352,            0.011595,                   0,             0.48982,             0.25664,             0.30595,             0.11861,            0.078293,            0.035622,                   0,           0.0080992,           0.0080992,           0.0080992
                  50,            0.053534,            0.011499,                   0,             0.78219,             0.79646,             0.79421,             0.31342,            0.050061,             0.01568,                   0,           0.0080596,           0.0080596,           0.0080596
                  51,            0.055342,             0.01205,                   0,             0.81346,             0.67257,             0.73341,             0.29381,            0.053317,            0.017928,                   0,             0.00802,             0.00802,             0.00802
                  52,            0.053779,            0.011017,                   0,             0.78748,             0.70796,             0.75048,             0.28712,            0.051665,            0.017938,                   0,           0.0079804,           0.0079804,           0.0079804
                  53,            0.053546,            0.011276,                   0,             0.77956,             0.69027,             0.72381,             0.25151,            0.054324,            0.016251,                   0,           0.0079408,           0.0079408,           0.0079408
                  54,            0.054189,            0.011587,                   0,             0.78691,             0.67257,             0.69421,             0.25352,             0.05464,            0.017871,                   0,           0.0079012,           0.0079012,           0.0079012
                  55,            0.052466,            0.011858,                   0,             0.77512,             0.68142,             0.72319,             0.25998,            0.053017,            0.016517,                   0,           0.0078616,           0.0078616,           0.0078616
                  56,            0.052532,            0.011747,                   0,             0.53187,             0.66372,             0.57753,             0.21961,            0.055625,            0.020479,                   0,            0.007822,            0.007822,            0.007822
                  57,            0.052418,             0.01207,                   0,             0.74707,             0.76106,             0.77492,             0.32663,            0.047753,            0.016216,                   0,           0.0077824,           0.0077824,           0.0077824
                  58,            0.051691,            0.012451,                   0,             0.57236,             0.43363,             0.47515,             0.19525,            0.057211,            0.025892,                   0,           0.0077428,           0.0077428,           0.0077428
                  59,            0.052275,            0.011953,                   0,             0.78457,             0.64602,             0.66817,              0.2643,            0.055443,            0.018806,                   0,           0.0077032,           0.0077032,           0.0077032
                  60,            0.055102,            0.011353,                   0,             0.78764,             0.51327,             0.58254,             0.20191,            0.060747,            0.016831,                   0,           0.0076636,           0.0076636,           0.0076636
                  61,            0.053234,            0.011158,                   0,             0.70818,             0.69912,             0.68937,             0.24599,            0.054238,            0.016278,                   0,            0.007624,            0.007624,            0.007624
                  62,             0.04994,             0.01154,                   0,             0.76878,             0.63717,             0.64974,             0.23951,            0.055114,            0.017658,                   0,           0.0075844,           0.0075844,           0.0075844
