epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.70776,396.612,101.867,2.89439,0,0,0,0,3687.88,90.612,2.02817,0.0004,0.0004,0.0004
2,7.90838,5.08439,89.6309,3.36964,0,0,0,0,3625.46,90.5415,2.06664,0.000816753,0.000816753,0.000816753
3,11.0869,4.39564,53.1078,3.0304,0,0,0,0,3727.66,90.2484,1.91915,0.00123018,0.00123018,0.00123018
4,14.2349,379.182,15.8483,3.14227,0,0,0,0,3580.09,78.5306,4.2619,0.00164028,0.00164028,0.00164028
5,17.3735,4.54406,14.0279,2.87753,0,0,0,0,1.89208,1.5644,22.8009,0.00196832,0.00196832,0.00196832
6,20.5193,3.91602,5.69695,2.62273,0,0,0,0,0.62722,0.79232,1.43146,0.0019604,0.0019604,0.0019604
7,23.6147,334.866,4.66524,2.34531,0,0,0,0,1.84053,2.31745,3.91885,0.00195248,0.00195248,0.00195248
8,26.6984,3.86351,4.06423,2.35333,0.00259,0.15929,0.01262,0.00281,3.90681,2.58813,2.44953,0.00194456,0.00194456,0.00194456
9,29.8209,3.64519,3.2634,2.16221,0.03163,0.0354,0.01184,0.00232,3.99689,2.47188,2.35534,0.00193664,0.00193664,0.00193664
10,32.4325,3.49236,2.92307,2.13895,0.08786,0.17699,0.02604,0.00511,3.69057,2.36662,2.21812,0.00192872,0.00192872,0.00192872
11,35.5963,270.138,2.64419,2.00811,0.22715,0.14159,0.06417,0.01379,3.3361,2.52177,2.05316,0.0019208,0.0019208,0.0019208
12,38.687,3.5371,2.5645,2.07892,0.24698,0.11504,0.04899,0.00944,3.41751,3.52065,1.98418,0.00191288,0.00191288,0.00191288
13,41.2985,3.40741,2.38104,2.02182,0.14912,0.13274,0.04704,0.0081,3.51039,3.23751,2.10972,0.00190496,0.00190496,0.00190496
14,43.9476,3.26501,2.28697,1.92132,0.21381,0.09735,0.07552,0.01758,3.57101,2.85074,1.95068,0.00189704,0.00189704,0.00189704
