               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.064296,            0.011109,                   0,               0.527,             0.47788,             0.43696,             0.13964,            0.069711,            0.017543,                   0,           0.0085348,           0.0085348,           0.0085348
                  39,            0.061119,            0.011627,                   0,             0.49271,             0.69912,             0.52429,             0.15724,            0.062074,             0.01504,                   0,           0.0084952,           0.0084952,           0.0084952
                  40,            0.062114,            0.010657,                   0,             0.50996,             0.13821,             0.15545,            0.045205,             0.10786,            0.021235,                   0,           0.0084556,           0.0084556,           0.0084556
                  41,            0.063842,            0.011418,                   0,             0.47322,             0.30973,             0.30253,            0.092839,            0.075599,            0.019732,                   0,            0.008416,            0.008416,            0.008416
                  42,            0.063381,            0.011206,                   0,             0.65115,             0.49558,             0.51919,             0.17361,            0.069334,            0.016413,                   0,           0.0083764,           0.0083764,           0.0083764
                  43,            0.062755,            0.011416,                   0,             0.56975,             0.46903,              0.4714,             0.12555,            0.071272,            0.015492,                   0,           0.0083368,           0.0083368,           0.0083368
                  44,            0.068579,              0.0118,                   0,             0.59699,             0.53097,             0.54443,             0.15783,            0.069406,            0.013557,                   0,           0.0082972,           0.0082972,           0.0082972
                  45,             0.06846,            0.010568,                   0,             0.61772,             0.48621,             0.47097,             0.13529,            0.075669,            0.015687,                   0,           0.0082576,           0.0082576,           0.0082576
                  46,            0.064627,             0.01161,                   0,             0.52934,             0.19469,             0.19714,             0.06443,            0.099429,            0.021666,                   0,            0.008218,            0.008218,            0.008218
                  47,            0.065155,            0.011224,                   0,             0.41177,             0.46903,             0.39368,             0.10533,            0.068682,            0.018397,                   0,           0.0081784,           0.0081784,           0.0081784
                  48,             0.06206,            0.011226,                   0,             0.45094,             0.26549,             0.27133,            0.082778,            0.092809,            0.021761,                   0,           0.0081388,           0.0081388,           0.0081388
                  49,            0.061628,            0.011333,                   0,             0.63585,             0.71681,             0.60791,             0.19903,            0.058466,            0.014327,                   0,           0.0080992,           0.0080992,           0.0080992
                  50,            0.059237,            0.011128,                   0,             0.62713,             0.49558,             0.52448,             0.16938,            0.065586,            0.016315,                   0,           0.0080596,           0.0080596,           0.0080596
