epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.0127,385.896,101.618,2.90409,0,0,0,0,3647.88,90.6119,2.02828,0.0004,0.0004,0.0004
2,10.2257,5.07444,90.2085,3.33347,0,0,0,0,3595.45,90.5622,2.06032,0.000816753,0.000816753,0.000816753
3,14.3634,4.60814,46.9904,3.39968,0,0,0,0,3682.55,81.2265,1.8654,0.00123018,0.00123018,0.00123018
4,18.488,370.158,27.6702,3.24322,0,0,0,0,4.07218,28.7519,14.4116,0.00164028,0.00164028,0.00164028
5,22.2562,4.40181,16.0509,3.09891,0,0,0,0,nan,nan,nan,0.00196832,0.00196832,0.00196832
6,26.0748,4.08608,8.19149,2.68541,0,0,0,0,3.81508,4.7771,53.4749,0.0019604,0.0019604,0.0019604
7,30.1772,332.1,4.87369,2.41004,0.00063,0.06195,0.00295,0.0008,4.11823,4.28112,2.64405,0.00195248,0.00195248,0.00195248
8,33.9981,3.81932,4.00568,2.38405,0.05174,0.02655,0.00662,0.00174,3.90506,2.32536,2.39696,0.00194456,0.00194456,0.00194456
9,37.8421,3.65176,3.46148,2.35498,0.11938,0.04425,0.01873,0.00578,3.64042,2.37899,2.38781,0.00193664,0.00193664,0.00193664
10,41.9165,3.6944,2.95647,2.26742,0.01274,0.0177,0.00255,0.00082,3.93336,7.11275,2.6305,0.00192872,0.00192872,0.00192872
11,45.2931,272.496,2.78999,2.13297,0.14559,0.05735,0.03522,0.01243,3.40591,2.62569,2.41303,0.0019208,0.0019208,0.0019208
12,49.3476,3.55197,2.47483,2.16183,0.17708,0.0531,0.04226,0.0123,3.48043,2.54384,2.31089,0.00191288,0.00191288,0.00191288
13,53.3004,3.43565,2.38868,2.07892,0.16924,0.15044,0.07471,0.02045,3.41282,2.05665,1.97782,0.00190496,0.00190496,0.00190496
14,57.5253,3.35003,2.42725,2.00263,0.19168,0.16814,0.07058,0.01476,3.59174,1.76975,1.89345,0.00189704,0.00189704,0.00189704
15,61.2597,3.34336,2.2131,2.03563,0.16276,0.15929,0.09572,0.0253,3.27838,1.79645,1.97695,0.00188912,0.00188912,0.00188912
16,65.3448,3.15256,2.18378,1.90121,0.1909,0.25664,0.10034,0.01997,3.34011,1.79728,1.7855,0.0018812,0.0018812,0.0018812
17,68.7574,232.629,2.18879,1.86673,0.21213,0.24779,0.14688,0.02929,3.16532,1.75489,1.7895,0.00187328,0.00187328,0.00187328
18,72.8,198.379,1.98374,1.8394,0.21051,0.19469,0.09647,0.02335,3.3708,2.0609,1.85193,0.00186536,0.00186536,0.00186536
19,76.3646,177.364,2.06395,1.8854,0.26507,0.20354,0.109,0.03198,3.08928,1.92734,1.82932,0.00185744,0.00185744,0.00185744
20,79.9143,3.17395,2.08339,1.8233,0.13621,0.16814,0.07607,0.02095,3.23103,2.10443,1.95902,0.00184952,0.00184952,0.00184952
21,83.2259,3.27098,1.95242,1.87696,0.26876,0.20354,0.15707,0.03428,3.11136,1.97793,1.77366,0.0018416,0.0018416,0.0018416
22,87.1144,2.99134,2.02978,1.76476,0.32079,0.22152,0.19734,0.05626,3.03541,1.70851,1.78168,0.00183368,0.00183368,0.00183368
